label,hurr_sum,dhw_mean,dhw_sd,sst_mean,sst_sd,k490_mean,k490_sd,prod_mean,prod_sd,rain_mean,rain_sd,6_depth,9_reef,11_het_hab,11_het_typ,12_nursery,14_pop2000,14_pop2005,14_pop2010,14_pop2015,14_pop2020,15_margin,8_fsas,16_slope,23_watpol,18_river,22_inorpol,13_conlob,13_conyel,7_mpa,,YEAR,REGION
42,0,0.150561727,0.272860442,27.47670951,1.347153846,0.04032668,0.013627716,369.5289691,174.745298,0.500292739,2.474684987,-27.62209736,6.443255369,4.426966292,12.79962547,13.24210779,370297.8852,371344.2371,373810.9078,377714.1834,383086.6139,86.36961084,18.31338114,1.383499682,36.79775281,89.92855043,1.106540644,0.048853215,0.016572167,9.552937783,,2009,USVI-St. Thomas
43,0,0.774931459,1.272311119,28.12504766,0.970224187,0.066353429,0.012372772,475.1756542,90.53506732,0.172349511,1.181320757,-21.59850217,7.832871354,3.451101322,9.482819383,11.65363067,3042886.53,3018201.761,2998201.171,2982905.754,2972362.094,78.04497761,48.61211295,0.733727648,141.0748899,19.82271873,1.356158026,0.109273845,0.012909053,17.67055761,,2010,PR-East
44,0,0.586681507,0.945205515,28.12799315,0.972755752,0.052407505,0.019901131,405.2245305,105.3841753,0.051785958,0.337224213,-6.15,6.938512,3.25,7.5,0.607856375,3058193.434,3020354.197,2986606.815,2956897.366,2931186.18,39.03287138,90.19544575,1.86676125,43.75,17.75801163,22.37857675,0.069243375,0.069164125,42.29167988,,2010,PR-North
45,0,1.398958457,2.222708001,28.41039632,0.971427554,0.069299392,0.020396733,471.0233826,121.6794618,0.045391502,0.45949932,-17.73913039,26.57602962,4.420289855,11.98550725,11.93792974,3300561.059,3261692.333,3227091.785,3196711.461,3170518.034,72.90173855,77.04214896,1.493100942,758.0434783,13.9110853,3.677269775,0.09145187,0.057648594,22.96705967,,2010,PR-South
46,0,0.723872565,1.171636967,28.39456484,0.989532957,0.069093535,0.021075053,530.9837109,160.2619591,0.026521057,0.207485331,-184.2011462,11.72275557,2.808759868,6.429080723,8.994535141,1665238.172,1635910.976,1608807.127,1583911.404,1561236.528,53.23609715,18.20775354,2.251082923,29.57219251,20.64029664,2.649980975,0.103119877,0.048879227,14.63268359,,2010,PR-West
47,0,1.533576575,2.397442455,28.29564507,0.953378138,0.041619313,0.012331989,390.0645624,165.1711423,0.368931895,1.887785702,-23.87169319,35.55014538,3.838624339,10.38888889,6.706227235,242157.3663,246120.4341,251033.454,256948.4819,263928.2228,41.48131768,11.12537334,2.702998598,12.38095238,152.2757188,0.503029331,0.024485481,0.029962201,13.68113346,,2010,USVI-St. Croix
48,0.284684685,1.032968826,1.660610235,28.08947523,0.976340797,0.042524482,0.009858498,366.8819382,119.0808373,0.410041139,1.885707727,-27.52576574,6.135921575,4.448648649,12.65405405,12.05069289,380046.326,381443.2886,384258.5821,388511.1202,394235.8672,86.28756648,17.74266798,1.490401495,35.78378378,89.37525277,0.999017321,0.037149168,0.016481232,10.13357803,,2010,USVI-St. Thomas
49,1,0.005241043,0.021136441,27.6305461,1.205407517,0.057853029,0.010183976,428.6880439,70.60927971,0.318206202,1.502862126,-21.49868878,7.829173385,3.45541958,9.491258741,11.85525186,3044981.512,3020275.994,3000256.653,2984944.45,2974385.934,78.07413769,48.63370567,0.733333164,140.7517483,19.79810822,1.357970193,0.108466859,0.012979174,17.6939192,,2011,PR-East
50,1,0.007868493,0.040063039,27.63168767,1.222785885,0.055396653,0.024719723,454.0080775,148.2707994,0.143947942,0.698422079,-5.1,6.508707,3.4,8.1,0.8999876,3414716.834,3372325.341,3334534.039,3301285.649,3272539.705,39.4690937,101.0923187,1.614122,55,17.0761306,22.1327914,0.0784976,0.0716287,39.4680349,,2011,PR-North
51,0.753623188,0.314737443,0.503236507,27.9812162,1.155426035,0.064418425,0.01417772,411.0646563,62.815161,0.073598172,0.417457088,-18.21376809,26.34802812,4.398550725,11.96376812,11.6300652,3303642.871,3264723.862,3230063.837,3199615.396,3173345.619,73.06491793,76.31245132,1.612581957,758.0434783,13.94467142,3.784592754,0.091774109,0.058078833,23.93543862,,2011,PR-South
